iter	Passed	Remaining
364	3180	5532
365	3187	5521
366	3195	5511
367	3201	5498
368	3208	5486
369	3213	5472
370	3221	5461
371	3228	5449
372	3235	5437
373	3242	5427
374	3249	5416
375	3257	5405
376	3263	5393
377	3271	5383
378	3278	5371
379	3285	5361
380	3292	5349
381	3300	5339
382	3307	5327
383	3314	5317
384	3321	5306
385	3332	5301
386	3339	5290
387	3346	5278
388	3353	5267
389	3359	5254
390	3368	5246
391	3375	5235
392	3382	5224
393	3388	5211
394	3394	5198
395	3401	5188
396	3408	5177
397	3418	5170
398	3426	5160
399	3434	5151
400	3442	5142
401	3450	5133
402	3459	5125
403	3468	5116
404	3476	5107
405	3483	5096
406	3491	5087
407	3499	5077
408	3506	5066
409	3513	5055
410	3519	5043
411	3525	5032
412	3532	5020
413	3538	5009
414	3547	5000
415	3555	4991
416	3562	4980
417	3568	4968
418	3576	4959
419	3582	4947
420	3589	4937
421	3597	4926
422	3604	4916
423	3610	4904
424	3616	4892
425	3623	4882
426	3628	4869
427	3635	4858
428	3641	4846
429	3646	4833
430	3654	4824
431	3660	4812
432	3666	4801
433	3672	4790
434	3678	4778
435	3685	4767
436	3692	4756
437	3698	4745
438	3704	4733
439	3710	4722
440	3717	4711
441	3724	4702
442	3732	4692
443	3739	4683
444	3746	4672
445	3752	4661
446	3758	4650
447	3766	4640
448	3772	4629
449	3779	4618
450	3785	4607
451	3790	4595
452	3798	4586
453	3804	4575
454	3810	4564
455	3816	4553
456	3822	4541
457	3831	4534
458	3836	4522
459	3844	4512
460	3849	4501
461	3857	4492
462	3864	4481
463	3869	4470
464	3876	4460
465	3882	4449
466	3888	4438
467	3895	4427
468	3901	4416
469	3909	4408
470	3916	4398
471	3924	4389
472	3931	4380
473	3938	4370
474	3944	4360
475	3950	4349
476	3957	4339
477	3964	4329
478	3971	4320
479	3978	4309
480	3983	4298
481	3990	4288
482	3996	4277
483	4003	4268
484	4009	4257
485	4015	4246
486	4021	4236
487	4027	4225
488	4034	4216
489	4040	4205
490	4046	4194
491	4053	4185
492	4058	4173
493	4065	4163
494	4071	4153
495	4077	4142
496	4091	4140
497	4099	4132
498	4105	4122
499	4112	4112
500	4118	4101
501	4123	4091
502	4131	4081
503	4136	4071
504	4143	4061
505	4149	4051
506	4155	4040
507	4161	4030
508	4167	4020
509	4175	4011
510	4182	4002
511	4189	3992
512	4195	3983
513	4202	3973
514	4208	3963
515	4214	3953
516	4220	3942
517	4227	3933
518	4234	3924
519	4240	3914
520	4247	3904
521	4252	3893
522	4259	3884
523	4266	3875
524	4275	3867
525	4281	3858
526	4288	3848
527	4294	3839
528	4300	3828
529	4307	3819
530	4312	3809
531	4318	3799
532	4325	3789
533	4331	3779
534	4339	3772
535	4345	3762
536	4352	3753
537	4363	3746
538	4371	3739
539	4377	3728
540	4383	3719
541	4390	3709
542	4395	3699
543	4402	3690
544	4408	3680
545	4414	3670
546	4421	3661
547	4427	3651
548	4434	3642
549	4440	3633
550	4447	3624
551	4455	3615
552	4461	3605
553	4468	3597
554	4473	3587
555	4480	3577
556	4486	3568
557	4492	3558
558	4499	3549
559	4505	3539
560	4511	3530
561	4517	3520
562	4523	3510
563	4530	3502
564	4535	3492
565	4541	3482
566	4548	3473
567	4554	3463
568	4562	3455
569	4568	3446
570	4574	3436
571	4580	3427
572	4588	3419
573	4595	3410
574	4601	3401
575	4608	3392
576	4614	3382
577	4620	3373
578	4628	3365
579	4635	3356
580	4642	3348
581	4648	3338
582	4654	3329
583	4661	3320
584	4667	3311
585	4674	3302
586	4680	3293
587	4687	3284
588	4692	3274
589	4698	3265
590	4706	3256
591	4711	3247
592	4718	3238
593	4724	3229
594	4729	3219
595	4736	3210
596	4742	3201
597	4748	3191
598	4754	3183
599	4760	3173
600	4767	3165
601	4773	3155
602	4779	3146
603	4785	3137
604	4791	3128
605	4797	3119
606	4805	3111
607	4813	3103
608	4821	3095
609	4826	3086
610	4835	3078
611	4841	3069
612	4848	3061
613	4854	3051
614	4860	3042
615	4867	3034
616	4872	3024
617	4879	3015
618	4884	3006
619	4891	2997
620	4898	2989
621	4903	2980
622	4910	2971
623	4916	2962
624	4922	2953
625	4929	2945
626	4935	2936
627	4942	2927
628	4948	2918
629	4954	2909
630	4961	2901
631	4966	2892
632	4973	2883
633	4981	2875
634	4988	2867
635	4996	2859
636	5002	2850
637	5009	2842
638	5014	2832
639	5020	2824
640	5027	2815
641	5032	2806
642	5040	2798
643	5046	2789
644	5052	2780
645	5059	2772
646	5064	2763
647	5072	2755
648	5078	2746
649	5087	2739
650	5093	2730
651	5099	2722
652	5106	2713
653	5112	2705
654	5120	2697
655	5126	2688
656	5133	2680
657	5139	2671
658	5145	2662
659	5151	2654
660	5157	2645
661	5164	2637
662	5172	2629
663	5179	2620
664	5186	2612
665	5192	2603
666	5199	2595
667	5205	2587
668	5212	2578
669	5218	2570
670	5224	2561
671	5231	2553
672	5236	2544
673	5243	2536
674	5249	2527
675	5255	2518
676	5262	2510
677	5268	2501
678	5274	2493
679	5280	2485
680	5286	2476
681	5293	2468
682	5299	2459
683	5305	2451
684	5311	2442
685	5317	2434
686	5325	2426
687	5331	2417
688	5340	2410
689	5348	2402
690	5356	2395
691	5363	2387
692	5370	2379
693	5377	2370
694	5382	2362
695	5389	2354
696	5395	2345
697	5401	2337
698	5408	2328
699	5413	2320
700	5420	2312
701	5426	2303
702	5432	2295
703	5439	2287
704	5444	2278
705	5452	2270
706	5457	2261
707	5463	2253
708	5470	2245
709	5476	2236
710	5483	2228
711	5489	2220
712	5495	2211
713	5501	2203
714	5508	2195
715	5514	2187
716	5520	2179
717	5527	2170
718	5535	2163
719	5541	2155
720	5548	2147
721	5554	2138
722	5560	2130
723	5567	2122
724	5574	2114
725	5584	2107
726	5591	2099
727	5598	2091
728	5604	2083
729	5611	2075
730	5617	2067
731	5623	2059
732	5630	2050
733	5635	2042
734	5642	2034
735	5648	2026
736	5654	2017
737	5661	2009
738	5667	2001
739	5674	1993
740	5680	1985
741	5685	1976
742	5692	1968
743	5698	1960
744	5704	1952
745	5710	1944
746	5718	1936
747	5725	1929
748	5731	1920
749	5738	1912
750	5744	1904
751	5750	1896
752	5757	1888
753	5762	1880
754	5769	1872
755	5776	1864
756	5781	1855
757	5788	1848
758	5794	1839
759	5800	1831
760	5806	1823
761	5812	1815
762	5819	1807
763	5825	1799
764	5834	1792
765	5839	1783
766	5845	1775
767	5853	1768
768	5858	1759
769	5865	1752
770	5871	1743
771	5877	1735
772	5883	1727
773	5890	1719
774	5898	1712
775	5905	1704
776	5912	1696
777	5919	1688
778	5924	1680
779	5931	1673
780	5937	1664
781	5943	1656
782	5950	1649
783	5956	1640
784	5963	1633
785	5968	1625
786	5975	1617
787	5981	1609
788	5986	1601
789	5994	1593
790	5999	1585
791	6006	1577
792	6013	1569
793	6018	1561
794	6025	1553
795	6031	1545
796	6037	1537
797	6044	1530
798	6050	1522
799	6057	1514
800	6063	1506
801	6069	1498
802	6078	1491
803	6089	1484
804	6095	1476
805	6102	1468
806	6109	1461
807	6114	1452
808	6122	1445
809	6128	1437
810	6135	1429
811	6143	1422
812	6150	1414
813	6157	1406
814	6162	1398
815	6170	1391
816	6175	1383
817	6182	1375
818	6189	1367
819	6196	1360
820	6203	1352
821	6208	1344
822	6215	1336
823	6222	1328
824	6228	1321
825	6235	1313
826	6241	1305
827	6248	1297
828	6255	1290
829	6264	1283
830	6271	1275
831	6279	1267
832	6285	1260
833	6292	1252
834	6300	1244
835	6307	1237
836	6314	1229
837	6323	1222
838	6332	1215
839	6339	1207
840	6346	1199
841	6351	1191
842	6358	1184
843	6364	1176
844	6370	1168
845	6377	1160
846	6383	1153
847	6390	1145
848	6396	1137
849	6402	1129
850	6409	1122
851	6414	1114
852	6420	1106
853	6426	1098
854	6434	1091
855	6441	1083
856	6448	1075
857	6455	1068
858	6461	1060
859	6469	1053
860	6475	1045
861	6482	1037
862	6489	1030
863	6494	1022
864	6501	1014
865	6507	1006
866	6513	999
867	6520	991
868	6526	983
869	6532	976
870	6538	968
871	6545	960
872	6552	953
873	6557	945
874	6564	937
875	6570	930
876	6576	922
877	6584	914
878	6593	907
879	6600	900
880	6606	892
881	6614	884
882	6621	877
883	6629	869
884	6635	862
885	6641	854
886	6648	847
887	6654	839
888	6661	831
889	6667	824
890	6673	816
891	6680	808
892	6686	801
893	6693	793
894	6699	785
895	6705	778
896	6712	770
897	6718	763
898	6725	755
899	6732	748
900	6739	740
901	6745	732
902	6751	725
903	6758	717
904	6764	710
905	6771	702
906	6777	694
907	6783	687
908	6791	679
909	6798	672
910	6806	664
911	6811	657
912	6818	649
913	6824	642
914	6833	634
915	6839	627
916	6845	619
917	6852	612
918	6858	604
919	6864	596
920	6870	589
921	6876	581
922	6883	574
923	6889	566
924	6895	559
925	6902	551
926	6908	543
927	6914	536
928	6920	528
929	6926	521
930	6933	513
931	6938	506
932	6945	498
933	6952	491
934	6957	483
935	6964	476
936	6971	468
937	6979	461
938	6986	453
939	6993	446
940	6999	438
941	7005	431
942	7012	423
943	7018	416
944	7024	408
945	7030	401
946	7036	393
947	7043	386
948	7049	378
949	7056	371
950	7063	363
951	7069	356
952	7075	348
953	7084	341
954	7091	334
955	7098	326
956	7104	319
957	7111	311
958	7116	304
959	7123	296
960	7129	289
961	7136	281
962	7142	274
963	7150	267
964	7157	259
965	7164	252
966	7171	244
967	7177	237
968	7184	229
969	7190	222
970	7196	214
971	7203	207
972	7208	200
973	7215	192
974	7221	185
975	7228	177
976	7235	170
977	7240	162
978	7246	155
979	7252	148
980	7259	140
981	7265	133
982	7271	125
983	7278	118
984	7285	110
985	7290	103
986	7297	96
987	7303	88
988	7309	81
989	7315	73
990	7321	66
991	7332	59
992	7338	51
993	7346	44
994	7351	36
995	7358	29
996	7364	22
997	7370	14
998	7377	7
999	7383	0
